epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.68,1.74166,4.07822,1.83724,0.11074,0.14034,0.05838,0.02351,1.87368,4.27343,2.08853,0.00041522,0.00041522,0.00041522
2,209.96,1.94304,3.51576,2.03432,0.21176,0.24278,0.13597,0.05914,2.06627,4.26966,2.26863,0.000815415,0.000815415,0.000815415
3,308.583,2.01637,3.15394,2.13205,0.54238,0.12002,0.11544,0.0474,2.09004,3.3384,2.28158,0.00119911,0.00119911,0.00119911
4,414.861,2.03199,3.06304,2.15707,0.53613,0.1319,0.1485,0.06289,1.99987,2.97155,2.23312,0.00117575,0.00117575,0.00117575
5,515.51,1.94867,2.88301,2.12597,0.2373,0.25611,0.14507,0.05971,1.97332,3.00636,2.12719,0.001151,0.001151,0.001151
6,627.609,1.89006,2.76166,2.02728,0.33402,0.24194,0.21062,0.09322,1.88831,2.77486,2.08135,0.00112625,0.00112625,0.00112625
7,730.842,1.88169,2.72296,2.04428,0.23788,0.32233,0.22191,0.10626,1.85463,2.69238,2.04828,0.0011015,0.0011015,0.0011015
8,838.738,1.79992,2.53051,1.97013,0.34898,0.28295,0.24791,0.10787,1.84069,2.9294,2.0366,0.00107675,0.00107675,0.00107675
9,948.841,1.81054,2.47201,1.96948,0.25997,0.36915,0.24724,0.11382,1.75314,2.76679,1.95643,0.001052,0.001052,0.001052
10,1046.93,1.75741,2.39005,1.91799,0.31994,0.33779,0.28208,0.13437,1.72414,2.67301,1.99496,0.00102725,0.00102725,0.00102725
11,1154.54,1.71397,2.34946,1.87967,0.45602,0.35678,0.36608,0.16544,1.76594,2.33614,1.93907,0.0010025,0.0010025,0.0010025
12,1269.31,1.68894,2.29144,1.86307,0.48358,0.40495,0.39694,0.19356,1.63523,2.27019,1.85078,0.00097775,0.00097775,0.00097775
13,1372.38,1.6575,2.23516,1.84669,0.408,0.37519,0.33371,0.16631,1.71908,2.2977,1.90675,0.000953,0.000953,0.000953
14,1477.54,1.63352,2.17896,1.80383,0.50443,0.34058,0.36212,0.18771,1.66066,2.21105,1.86565,0.00092825,0.00092825,0.00092825
15,1584.87,1.62528,2.07685,1.78788,0.39669,0.3897,0.35425,0.16732,1.70969,2.28495,1.87374,0.0009035,0.0009035,0.0009035
16,1691.41,1.6398,2.09989,1.80346,0.4462,0.38932,0.38511,0.18622,1.68498,2.22969,1.86583,0.00087875,0.00087875,0.00087875
17,1796.82,1.56154,2.00864,1.74129,0.57053,0.37212,0.41811,0.21517,1.60885,2.13593,1.8174,0.000854,0.000854,0.000854
18,1900.03,1.57037,1.9797,1.7568,0.62886,0.41659,0.4669,0.22744,1.61989,2.02579,1.79612,0.00082925,0.00082925,0.00082925
19,2004.75,1.55072,1.93288,1.73186,0.56909,0.45935,0.47092,0.23258,1.61606,2.00138,1.84762,0.0008045,0.0008045,0.0008045
20,2109.2,1.51785,1.89645,1.7118,0.60668,0.37629,0.45778,0.22572,1.59239,2.16095,1.78898,0.00077975,0.00077975,0.00077975
21,2217.96,1.50126,1.84595,1.67917,0.58954,0.44138,0.48869,0.23511,1.60743,2.08832,1.82912,0.000755,0.000755,0.000755
22,2330.76,1.49575,1.82953,1.68826,0.47278,0.49219,0.48409,0.24498,1.58103,2.0112,1.77179,0.00073025,0.00073025,0.00073025
23,2439.35,1.46099,1.77773,1.65963,0.53212,0.48559,0.4997,0.24945,1.59692,1.90804,1.81531,0.0007055,0.0007055,0.0007055
24,2547.51,1.46997,1.76185,1.65778,0.56807,0.49005,0.52526,0.26222,1.60152,1.92768,1.78965,0.00068075,0.00068075,0.00068075
25,2648.91,1.45129,1.70207,1.64616,0.59038,0.47305,0.49683,0.26381,1.56709,1.88906,1.7865,0.000656,0.000656,0.000656
26,2751.5,1.43361,1.67882,1.637,0.55398,0.48294,0.49084,0.25134,1.57665,1.89685,1.77582,0.00063125,0.00063125,0.00063125
27,2860.16,1.41627,1.64647,1.61803,0.58988,0.47837,0.52627,0.27398,1.56545,1.9115,1.79113,0.0006065,0.0006065,0.0006065
28,2967.67,1.40316,1.62597,1.60229,0.65329,0.47232,0.54553,0.2779,1.56414,1.80917,1.77615,0.00058175,0.00058175,0.00058175
29,3072.06,1.39989,1.57231,1.58878,0.66707,0.48776,0.55752,0.29203,1.55787,1.82751,1.74067,0.000557,0.000557,0.000557
30,3178.16,1.38807,1.58269,1.5899,0.6636,0.50067,0.57563,0.29011,1.56351,1.88872,1.76223,0.00053225,0.00053225,0.00053225
31,3287.78,1.37257,1.54698,1.56451,0.6891,0.47961,0.58723,0.29841,1.51972,1.81116,1.72906,0.0005075,0.0005075,0.0005075
32,3396.91,1.35872,1.51865,1.57903,0.6731,0.49079,0.55181,0.29408,1.55461,1.82727,1.73553,0.00048275,0.00048275,0.00048275
33,3507.83,1.33511,1.47458,1.5482,0.63311,0.48564,0.57797,0.30032,1.57331,1.87079,1.76653,0.000458,0.000458,0.000458
34,3619.58,1.32062,1.45654,1.53689,0.67642,0.51738,0.59125,0.30802,1.54598,1.75384,1.73561,0.00043325,0.00043325,0.00043325
35,3723.51,1.29571,1.4019,1.50736,0.67607,0.50843,0.58321,0.3164,1.54298,1.86712,1.72127,0.0004085,0.0004085,0.0004085
36,3829.86,1.31372,1.40366,1.52014,0.66258,0.50835,0.58405,0.30801,1.58424,1.73587,1.758,0.00038375,0.00038375,0.00038375
37,3931.98,1.28964,1.38293,1.50602,0.64418,0.55007,0.59649,0.31835,1.55152,1.82782,1.74224,0.000359,0.000359,0.000359
38,4034.46,1.27053,1.33126,1.48419,0.68616,0.54096,0.60541,0.32467,1.53975,1.75987,1.7245,0.00033425,0.00033425,0.00033425
39,4144.89,1.26169,1.31586,1.46963,0.70632,0.55025,0.62456,0.33655,1.53586,1.7136,1.72689,0.0003095,0.0003095,0.0003095
40,4253.1,1.24251,1.30185,1.46687,0.72929,0.53408,0.61647,0.31572,1.55307,1.75656,1.72582,0.00028475,0.00028475,0.00028475
41,4372.03,1.24769,1.27578,1.46738,0.67442,0.56648,0.63043,0.32479,1.53012,1.70314,1.70337,0.00026,0.00026,0.00026
42,4482.35,1.21926,1.26165,1.45151,0.74123,0.53842,0.63347,0.33985,1.49772,1.67642,1.67715,0.00023525,0.00023525,0.00023525
43,4591.3,1.20415,1.21422,1.43643,0.67688,0.54949,0.6122,0.32815,1.51034,1.74166,1.69243,0.0002105,0.0002105,0.0002105
